season,episode,speaker,Symptom,Test,Drug,Procedure,Intent,diagnosis_stage,Sarcasm,Emotion,Organ,correct_prediction,model_prediction,text,medical_entities,clean_text,label
1,1,Wilson,nöbet,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,29 yaşında bir kadın hasta; ilk nöbetini bir ay önce geçirmiş.,"[{""text"": ""nöbet"", ""type"": ""Symptom""}]",29 yaşında bir kadın hasta ilk nöbetini bir ay önce geçirmiş,1639
1,1,Wilson,afazi,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,"Konuşma yetisini kaybetmiş, bebek gibi anlamsız sesler çıkarıyor.","[{""text"": ""afazi"", ""type"": ""Symptom""}]",konuşma yetisini kaybetmiş bebek gibi anlamsız sesler çıkarıyor,27
1,1,Wilson,zihinsel durum bozukluğu,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,Mental durumu giderek kötüleşiyor.,"[{""text"": ""zihinsel durum bozukluğu"", ""type"": ""Symptom""}]",mental durumu giderek kötüleşiyor,2371
1,1,Foreman,lezyon,MR,,,açıklama,değerlendirme,0,nötr,beyin,nörosistiserkozis,,MR görüntüsünde bir lezyon var.,"[{""text"": ""MR"", ""type"": ""Test""}, {""text"": ""lezyon"", ""type"": ""Symptom""}]",mr görüntüsünde bir lezyon var,1470
1,1,Cameron,alerjik reaksiyon,,gadolinyum,,açıklama,test,0,kaygı,,nörosistiserkozis,,Gadolinyuma alerjik reaksiyon geliştiriyor; iki dakika içinde ölebilir.,"[{""text"": ""gadolinyum"", ""type"": ""Drug""}, {""text"": ""alerjik reaksiyon"", ""type"": ""Symptom""}]",gadolinyuma alerjik reaksiyon geliştiriyor iki dakika içinde ölebilir,87
1,1,Foreman,solunum durması,,epinefrin,,açıklama,test,0,kaygı,,nörosistiserkozis,,Nefes almıyor. Yarım doz epinefrin verin.,"[{""text"": ""solunum durması"", ""type"": ""Symptom""}, {""text"": ""epinefrin"", ""type"": ""Drug""}]",nefes almıyor yarım doz epinefrin verin,2045
1,1,Foreman,ödem,,,cerrahi hava yolu,açıklama,test,0,kaygı,boğaz,nörosistiserkozis,,Ödem çok fazla; cerrahi hava yolu setini getirin.,"[{""text"": ""ödem"", ""type"": ""Symptom""}, {""text"": ""cerrahi hava yolu"", ""type"": ""Procedure""}, {""text"": ""boğaz"", ""type"": ""Anatomy""}]",ödem çok fazla cerrahi hava yolu setini getirin,2394
1,1,Rebecca,görme kaybı,,,,açıklama,değerlendirme,0,kaygı,göz,nörosistiserkozis,,Artık göremiyorum.,"[{""text"": ""görme kaybı"", ""type"": ""Symptom""}]",artık göremiyorum,846
1,1,Foreman,zihinsel durum bozukluğu,,,,açıklama,değerlendirme,0,nötr,beyin,nörosistiserkozis,,Zihinsel durum bozukluğu aralıklı; konuşma sorunları da aynı şekilde gelip gidiyor.,"[{""text"": ""zihinsel durum bozukluğu"", ""type"": ""Symptom""}, {""text"": ""konuşma bozukluğu"", ""type"": ""Symptom""}]",zihinsel durum bozukluğu aralıklı konuşma sorunları da aynı şekilde gelip gidiyor,2371
1,1,Foreman,konuşma bozukluğu,,,,açıklama,değerlendirme,0,nötr,beyin,nörosistiserkozis,,Zihinsel durum bozukluğu aralıklı; konuşma sorunları da aynı şekilde gelip gidiyor.,"[{""text"": ""zihinsel durum bozukluğu"", ""type"": ""Symptom""}, {""text"": ""konuşma bozukluğu"", ""type"": ""Symptom""}]",zihinsel durum bozukluğu aralıklı konuşma sorunları da aynı şekilde gelip gidiyor,1374
1,1,Foreman,körlük,,,,açıklama,değerlendirme,0,kaygı,"beyin sapı,solunum merkezi",nörosistiserkozis,,"Belirtiler sorunun beyin sapına ilerlediğini gösteriyor; yakında yürüyemeyecek, kalıcı kör olacak ve solunum merkezi çökecek.","[{""text"": ""beyin sapı"", ""type"": ""Anatomy""}, {""text"": ""körlük"", ""type"": ""Symptom""}, {""text"": ""solunum yetmezliği"", ""type"": ""Symptom""}, {""text"": ""solunum merkezi"", ""type"": ""Anatomy""}]",belirtiler sorunun beyin sapına ilerlediğini gösteriyor yakında yürüyemeyecek kalıcı kör olacak ve solunum merkezi çökecek,1417
1,1,Foreman,solunum yetmezliği,,,,açıklama,değerlendirme,0,kaygı,"beyin sapı,solunum merkezi",nörosistiserkozis,,"Belirtiler sorunun beyin sapına ilerlediğini gösteriyor; yakında yürüyemeyecek, kalıcı kör olacak ve solunum merkezi çökecek.","[{""text"": ""beyin sapı"", ""type"": ""Anatomy""}, {""text"": ""körlük"", ""type"": ""Symptom""}, {""text"": ""solunum yetmezliği"", ""type"": ""Symptom""}, {""text"": ""solunum merkezi"", ""type"": ""Anatomy""}]",belirtiler sorunun beyin sapına ilerlediğini gösteriyor yakında yürüyemeyecek kalıcı kör olacak ve solunum merkezi çökecek,2047
1,1,Foreman,yürüyememe,,,,açıklama,değerlendirme,0,kaygı,"beyin sapı,solunum merkezi",nörosistiserkozis,,"Belirtiler sorunun beyin sapına ilerlediğini gösteriyor; yakında yürüyemeyecek, kalıcı kör olacak ve solunum merkezi çökecek.","[{""text"": ""beyin sapı"", ""type"": ""Anatomy""}, {""text"": ""körlük"", ""type"": ""Symptom""}, {""text"": ""solunum yetmezliği"", ""type"": ""Symptom""}, {""text"": ""solunum merkezi"", ""type"": ""Anatomy""}]",belirtiler sorunun beyin sapına ilerlediğini gösteriyor yakında yürüyemeyecek kalıcı kör olacak ve solunum merkezi çökecek,2354
